,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Tags,A free copy of Mastering The Interview,Last Notable Activity
2617,Landing page submission,Direct traffic,No,No,1,4.0,1054,4.0,Sms sent,India,It projects management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
2618,Api,Organic search,No,No,0,7.0,356,7.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
2619,Landing page submission,Direct traffic,No,No,0,7.0,218,3.5,Email opened,India,"Banking, investment and insurance",No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2620,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2621,Landing page submission,Google,No,No,1,7.0,602,7.0,Email opened,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,No,Email opened
2622,Landing page submission,Direct traffic,No,No,1,2.0,1138,2.0,Sms sent,India,Supply chain management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
2623,Landing page submission,Direct traffic,No,No,1,2.0,1638,2.0,Sms sent,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
2624,Api,Direct traffic,No,No,0,17.0,250,4.25,Form submitted on website,India,Human resource management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
2625,Landing page submission,Direct traffic,No,No,0,6.0,299,2.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Not doing further education,No,Modified
2626,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Sms sent
2627,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2628,Landing page submission,Google,No,No,0,5.0,70,5.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
2629,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2630,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2631,Lead add form,Reference,Yes,No,1,0.0,0,0.0,Sms sent,No Details,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2632,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2633,Api,Google,No,No,0,2.0,397,1.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2634,Api,Olark chat,No,No,1,0.0,0,0.0,Email opened,No Details,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2635,Api,Google,No,No,0,3.0,49,3.0,Converted to lead,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2636,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
2637,Landing page submission,Google,No,No,0,4.0,115,2.0,Page visited on website,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Page visited on website
2638,Api,Olark chat,No,No,0,0.0,0,0.0,Email link clicked,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2639,Api,Google,No,No,1,2.0,673,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Email opened
2640,Landing page submission,Organic search,No,No,0,7.0,260,7.0,Olark chat conversation,India,Rural and agribusiness,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
2641,Api,Google,No,No,1,2.0,103,1.0,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2642,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
2643,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2644,Api,Google,No,No,1,4.0,659,4.0,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Sms sent
2645,Landing page submission,Direct traffic,No,No,1,9.0,1150,4.5,Email opened,Outside India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Email opened
2646,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Diploma holder (not eligible),No,Modified
2647,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Graduation in progress,No,Modified
2648,Landing page submission,Google,No,No,0,3.0,26,3.0,Sms sent,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Graduation in progress,No,Modified
2649,Landing page submission,Google,Yes,No,0,2.0,33,2.0,Unsubscribed,India,Business administration,No Details,No Details,No,No,No,No,No,No,No Details,No,Unsubscribed
2650,Lead add form,Reference,Yes,No,1,0.0,0,0.0,Sms sent,No Details,"Banking, investment and insurance",Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2651,Lead add form,Welingak website,No,No,1,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Email opened
2652,Landing page submission,Organic search,No,No,1,3.0,1394,3.0,Sms sent,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,Yes,Sms sent
2653,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,"Banking, investment and insurance",Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2654,Api,Google,No,No,1,2.0,1494,1.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Email opened
2655,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2657,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2658,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Business administration,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2659,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2660,Lead add form,Reference,No,No,1,3.445237833681204,28,2.3628199494672093,Had a phone conversation,No Details,Business administration,Working professional,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Modified
2661,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Finance management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2662,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Human resource management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2663,Api,Google,No,No,0,1.0,205,1.0,Converted to lead,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
2664,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2665,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2666,Landing page submission,Google,No,No,0,6.0,478,3.0,Email opened,India,Operations management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
2667,Landing page submission,Organic search,No,No,0,8.0,61,4.0,Email opened,India,Marketing management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email opened
2668,Landing page submission,Organic search,No,No,1,8.0,898,4.0,Sms sent,India,Travel and tourism,Unemployed,Better career prospects,No,No,No,No,No,No,Busy,Yes,Modified
2669,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
2670,Landing page submission,Google,No,No,0,5.0,1337,5.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
2671,Api,Olark chat,No,No,0,0.0,0,0.0,Email link clicked,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email link clicked
2672,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Finance management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2673,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Operations management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2674,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Finance management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2675,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Finance management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2676,Lead add form,"<bound method Series.mode of 0           Olark chat
1       Organic search
2       Direct traffic
3       Direct traffic
4               Google
             ...      
9235    Direct traffic
9236    Direct traffic
9237    Direct traffic
9238            Google
9239    Direct traffic
Name: Lead Source, Length: 9240, dtype: object>",No,No,1,0.0,0,0.0,Sms sent,No Details,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2677,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Operations management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2678,Api,Google,No,No,0,5.0,372,1.0,Email opened,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
2679,Landing page submission,Google,No,No,0,3.0,686,3.0,Sms sent,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
2680,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Business administration,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2681,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Finance management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2682,Landing page submission,Organic search,No,No,0,3.0,1589,3.0,Converted to lead,India,Travel and tourism,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
2683,Lead add form,Welingak website,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Sms sent
2684,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Human resource management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2685,Landing page submission,Google,No,No,1,4.0,1847,2.0,Sms sent,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
2686,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Operations management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2687,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Business administration,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2688,Lead add form,Welingak website,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Student,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2689,Landing page submission,Google,No,No,1,5.0,23,5.0,Email opened,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2690,Landing page submission,Google,No,No,0,4.0,379,4.0,Sms sent,India,Marketing management,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2691,Landing page submission,Organic search,No,No,0,7.0,945,3.5,Email opened,India,Hospitality management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
2692,Landing page submission,Google,No,No,1,6.0,1806,3.0,Email opened,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
2693,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
2694,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Sms sent
2695,Landing page submission,Google,No,No,1,5.0,479,2.5,Email opened,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2696,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2697,Landing page submission,Google,No,No,0,3.0,124,1.5,Email opened,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2698,Landing page submission,Direct traffic,Yes,No,0,4.0,42,4.0,Unsubscribed,India,It projects management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
2699,Api,Google,No,No,0,2.0,97,2.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
2700,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2701,Landing page submission,Direct traffic,No,No,0,2.0,73,2.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Modified
2702,Landing page submission,Google,No,No,0,4.0,208,4.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
2703,Landing page submission,Google,No,No,1,8.0,68,4.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2704,Landing page submission,Google,No,No,0,3.0,1314,3.0,Page visited on website,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Modified
2705,Api,Google,No,No,1,2.0,1494,2.0,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Sms sent
2706,Landing page submission,Organic search,No,No,0,5.0,186,5.0,Sms sent,India,Marketing management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Sms sent
2707,Api,Olark chat,Yes,No,0,0.0,0,0.0,Email bounced,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2708,Landing page submission,Organic search,No,No,1,3.0,438,3.0,Sms sent,India,Supply chain management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Sms sent
2709,Landing page submission,Google,No,No,1,4.0,1412,4.0,Sms sent,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2710,Api,Google,No,No,0,2.0,940,1.0,Sms sent,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2711,Landing page submission,Google,No,No,0,3.0,510,3.0,Page visited on website,India,Human resource management,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2712,Api,Google,No,No,1,3.0,252,3.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2713,Landing page submission,Direct traffic,No,No,1,2.0,1849,2.0,Sms sent,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
2714,Landing page submission,Direct traffic,No,No,1,8.0,1484,8.0,Sms sent,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Sms sent
2715,Landing page submission,Organic search,No,No,0,6.0,136,6.0,Page visited on website,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,Yes,Modified
2716,Landing page submission,Google,No,No,0,5.0,1669,5.0,Email opened,India,Human resource management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
2717,Landing page submission,Google,No,No,0,3.0,95,3.0,Page visited on website,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
2718,Landing page submission,Google,No,No,0,2.0,389,2.0,Email opened,Outside India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
2719,Landing page submission,Google,No,No,1,5.0,301,5.0,Sms sent,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2720,Landing page submission,Direct traffic,No,No,0,2.0,504,2.0,Email opened,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,Yes,Email opened
2721,Landing page submission,Direct traffic,No,No,0,3.0,69,1.5,Email opened,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email opened
2722,Landing page submission,Google,No,No,1,2.0,761,2.0,Sms sent,India,Operations management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2723,Landing page submission,Google,No,No,1,6.0,332,6.0,Sms sent,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2724,Api,Google,No,No,0,3.0,55,3.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
2725,Landing page submission,Direct traffic,No,No,1,3.0,765,3.0,Sms sent,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Lost to eins,Yes,Modified
2726,Landing page submission,Direct traffic,No,No,1,5.0,586,5.0,Converted to lead,India,Healthcare management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Modified
2727,Landing page submission,Google,No,No,1,8.0,1641,4.0,Page visited on website,India,Hospitality management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Page visited on website
2728,Landing page submission,Direct traffic,No,No,0,3.0,519,3.0,Page visited on website,India,Operations management,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2729,Landing page submission,Google,No,No,1,4.0,1276,4.0,Sms sent,India,Finance management,Student,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2730,Landing page submission,Direct traffic,No,No,0,2.0,257,2.0,Email opened,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
2731,Api,Direct traffic,No,No,0,1.0,263,1.0,Converted to lead,India,No Details,No Details,No Details,No,No,No,No,No,No,Interested in other courses,No,Modified
2732,Api,Google,No,No,0,1.0,36,1.0,Converted to lead,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested  in full time mba,No,Modified
2733,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2734,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2735,Landing page submission,Direct traffic,No,No,0,9.0,354,3.0,Email opened,India,Retail management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email opened
2736,Api,Google,No,No,0,2.0,2,2.0,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
2737,Landing page submission,Organic search,No,No,0,4.0,582,2.0,Email opened,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email opened
2738,Api,Google,No,No,0,8.0,518,2.67,Page visited on website,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Page visited on website
2739,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2740,Landing page submission,Organic search,No,No,0,3.0,1003,3.0,Email opened,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
2741,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2742,Landing page submission,Google,No,No,0,2.0,1007,2.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Diploma holder (not eligible),No,Modified
2743,Api,Google,No,No,0,3.0,156,3.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
2744,Api,Google,No,No,1,2.0,1392,1.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2745,Landing page submission,Direct traffic,No,No,0,3.0,54,3.0,Sms sent,India,E-business,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,Yes,Modified
2746,Landing page submission,Google,No,No,1,3.0,734,3.0,Email opened,India,Business administration,Housewife,Better career prospects,No,No,No,No,No,No,Closed by horizzon,Yes,Modified
2747,Landing page submission,Direct traffic,No,No,0,4.0,196,4.0,Page visited on website,India,Human resource management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Page visited on website
2748,Landing page submission,Google,No,No,1,2.0,1349,2.0,Sms sent,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2749,Landing page submission,Google,No,No,0,3.0,159,3.0,Email opened,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
2750,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
2751,Api,Google,No,No,1,2.0,1001,1.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Email opened
2752,Landing page submission,Google,No,No,0,3.0,57,1.5,Email opened,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
2753,Landing page submission,Direct traffic,No,No,0,2.0,349,2.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,Yes,Email opened
2754,Api,Google,Yes,No,0,2.0,139,1.0,Email bounced,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Email bounced
2755,Api,Olark chat,No,No,0,0.0,0,0.0,Email link clicked,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Diploma holder (not eligible),No,Modified
2756,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2757,Api,Olark chat,No,No,1,4.0,936,4.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2758,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2759,Landing page submission,Direct traffic,No,No,0,2.0,555,2.0,Email opened,India,Operations management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
2760,Api,Google,No,No,1,2.0,1241,1.0,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2761,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2762,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Human resource management,Working professional,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Modified
2763,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Marketing management,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2764,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Finance management,Working professional,Better career prospects,No,No,No,No,No,No,Lost to eins,No,Modified
2765,Lead add form,Reference,No,No,1,0.0,0,0.0,Sms sent,No Details,Business administration,Working professional,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2766,Landing page submission,Google,No,No,0,3.0,393,3.0,Olark chat conversation,India,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
2767,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2768,Api,Olark chat,No,No,1,0.0,0,0.0,Olark chat conversation,No Details,E-commerce,Unemployed,Better career prospects,No,No,No,No,No,No,Lost to eins,No,Modified
2769,Api,Direct traffic,No,No,1,17.0,1194,1.31,Page visited on website,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Page visited on website
2770,Lead add form,Reference,No,No,1,0.0,0,0.0,Email opened,No Details,Finance management,Unemployed,Better career prospects,No,No,No,No,No,No,Closed by horizzon,No,Modified
2771,Landing page submission,Direct traffic,No,No,0,3.0,73,3.0,Email opened,India,E-commerce,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
2772,Api,Google,No,No,0,3.0,28,1.5,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Already a student,No,Email opened
2773,Api,Olark chat,No,No,1,0.0,0,0.0,Email opened,No Details,Human resource management,Student,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
2774,Landing page submission,Direct traffic,No,No,0,3.0,279,3.0,Page visited on website,India,Business administration,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Modified
2775,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Switched off,No,Email opened
2776,Api,Google,No,No,0,2.0,70,1.0,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested  in full time mba,No,Modified
2777,Api,Google,No,No,0,2.0,4,2.0,Sms sent,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
2778,Api,Google,No,No,0,3.0,562,3.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
2779,Api,Google,No,No,0,3.0,23,1.5,Olark chat conversation,India,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2780,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2781,Api,Olark chat,No,No,0,0.0,0,0.0,Email opened,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
2782,Api,Olark chat,No,No,1,0.0,0,0.0,Sms sent,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Sms sent
2783,Landing page submission,Google,No,No,1,5.0,1178,5.0,Sms sent,India,Human resource management,Student,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Sms sent
2784,Landing page submission,Google,No,No,1,16.0,1253,3.2,Email link clicked,India,"Banking, investment and insurance",Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email link clicked
2785,Landing page submission,Direct traffic,No,No,1,2.0,280,2.0,Sms sent,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
